ID,Angular Frequency,Complex Viscosity,CY_Params
M12_5,"[628.0, 496.0, 391.0, 309.0, 244.0, 193.0, 152.0, 120.0, 94.8, 74.8, 59.1, 46.6, 36.8, 29.1, 23.0, 18.1, 14.3, 11.3, 8.92, 7.04, 5.56, 4.39, 3.47, 2.74, 2.16, 1.71, 1.35, 1.06, 0.839, 0.662, 0.523, 0.413, 0.326, 0.257, 0.203, 0.16, 0.127, 0.1]","[132.5, 140.06, 151.67, 166.99, 184.54, 203.93, 225.07, 247.31, 270.82, 295.57, 321.52, 348.05, 374.91, 401.7, 427.98, 453.55, 477.91, 500.69, 521.91, 541.15, 558.22, 572.91, 585.59, 595.75, 603.05, 608.6, 609.94, 609.77, 606.65, 601.29, 593.13, 587.45, 581.51, 573.76, 563.16, 555.06, 542.14, 534.9]","[585.2937097204966, 0.07952475307585087, 0.6141768466797176, 1.7085809298329113]"
M12_2_M3_5,"[628.0, 496.0, 391.0, 309.0, 244.0, 193.0, 152.0, 120.0, 94.8, 74.8, 59.1, 46.6, 36.8, 29.1, 23.0, 18.1, 14.3, 11.3, 8.92, 7.04, 5.56, 4.39, 3.47, 2.74, 2.16, 1.71, 1.35, 1.06, 0.839, 0.662, 0.523, 0.413, 0.326, 0.257, 0.203, 0.16, 0.127, 0.1]","[153.73, 169.25, 189.42, 213.94, 241.41, 271.93, 305.75, 341.23, 379.65, 421.3, 465.68, 512.66, 561.76, 612.35, 664.01, 716.47, 769.08, 821.09, 872.27, 921.5, 968.64, 1013.0, 1054.7, 1091.9, 1124.6, 1152.7, 1175.5, 1195.2, 1209.1, 1216.7, 1222.1, 1224.4, 1222.7, 1219.7, 1212.1, 1200.6, 1187.4, 1176.7]","[1236.0124717174872, 0.10456798275938467, 0.5023526437303282, 0.9820630615174715]"
M12_4_M3_30,"[628.0, 496.0, 391.0, 309.0, 244.0, 193.0, 152.0, 120.0, 94.8, 74.8, 59.1, 46.6, 36.8, 29.1, 23.0, 18.1, 14.3, 11.3, 8.92, 7.04, 5.56, 4.39, 3.47, 2.74, 2.16, 1.71, 1.35, 1.06, 0.839, 0.662, 0.523, 0.413, 0.326, 0.257, 0.203, 0.16, 0.127, 0.1]","[140.72, 157.67, 177.53, 200.76, 226.26, 254.43, 286.06, 318.15, 352.7, 389.9, 429.22, 470.33, 512.48, 555.47, 598.85, 642.06, 684.69, 726.2, 765.8, 803.28, 838.81, 871.61, 902.0, 928.33, 950.72, 968.59, 982.7, 992.3, 999.39, 1002.2, 994.25, 991.26, 981.95, 980.43, 966.26, 953.89, 947.05, 939.65]","[992.8534166704493, 0.0784082325767583, 0.5035841755212773, 1.0621245860780504]"
M12_1_M3_10,"[628.0, 496.0, 391.0, 309.0, 244.0, 193.0, 152.0, 120.0, 94.8, 74.8, 59.1, 46.6, 36.8, 29.1, 23.0, 18.1, 14.3, 11.3, 8.92, 7.04, 5.56, 4.39, 3.47, 2.74, 2.16, 1.71, 1.35, 1.06, 0.839, 0.662, 0.523, 0.413, 0.326, 0.257, 0.203, 0.16, 0.127, 0.1]","[131.48, 141.2, 155.6, 174.12, 195.34, 219.3, 245.79, 274.32, 305.4, 339.08, 375.25, 413.59, 453.62, 495.09, 537.67, 580.99, 624.49, 667.87, 710.79, 752.54, 793.13, 831.83, 868.94, 903.79, 934.92, 962.81, 987.91, 1008.8, 1025.7, 1037.7, 1048.8, 1052.4, 1058.5, 1060.3, 1058.3, 1058.2, 1053.6, 1047.9]","[1084.0460262712193, 0.13271805964386324, 0.5174585717988223, 0.9036105944270927]"
M12_1_M3_5,"[628.0, 496.0, 391.0, 309.0, 244.0, 193.0, 152.0, 120.0, 94.8, 74.8, 59.1, 46.6, 36.8, 29.1, 23.0, 18.1, 14.3, 11.3, 8.92, 7.04, 5.56, 4.39, 3.47, 2.74, 2.16, 1.71, 1.35, 1.06, 0.839, 0.662, 0.523, 0.413, 0.326, 0.257, 0.203, 0.16, 0.127, 0.1]","[147.27, 159.27, 175.29, 196.13, 219.93, 246.65, 276.45, 308.38, 342.97, 380.22, 419.97, 461.75, 505.27, 550.2, 596.2, 642.69, 689.6, 736.33, 782.53, 827.57, 871.45, 913.83, 954.3, 992.27, 1027.3, 1059.4, 1089.4, 1114.7, 1137.9, 1156.9, 1171.8, 1183.7, 1193.6, 1199.2, 1203.3, 1199.5, 1197.0, 1188.8]","[1240.5150341315355, 0.11925551081482538, 0.5035778287094868, 0.7858037801793739]"
M12_3_M3_20,"[628.0, 496.0, 391.0, 309.0, 244.0, 193.0, 152.0, 120.0, 94.8, 74.8, 59.1, 46.6, 36.8, 29.1, 23.0, 18.1, 14.3, 11.3, 8.92, 7.04, 5.56, 4.39, 3.47, 2.74, 2.16, 1.71, 1.35, 1.06, 0.839, 0.662, 0.523, 0.413, 0.326, 0.257, 0.203, 0.16, 0.127, 0.1]","[154.78, 170.93, 191.34, 215.88, 243.49, 274.28, 309.38, 346.11, 386.08, 429.57, 476.22, 525.56, 577.3, 631.06, 686.47, 743.09, 800.17, 857.42, 914.02, 969.43, 1023.1, 1074.4, 1123.1, 1168.2, 1209.7, 1245.5, 1277.4, 1304.0, 1326.2, 1341.0, 1350.8, 1354.1, 1354.6, 1353.1, 1344.8, 1335.6, 1324.7, 1307.4]","[1378.780520121044, 0.12028775660142046, 0.49486223364142984, 0.9247916441931865]"
M12_3_M3_10,"[628.0, 496.0, 391.0, 309.0, 244.0, 193.0, 152.0, 120.0, 94.8, 74.8, 59.1, 46.6, 36.8, 29.1, 23.0, 18.1, 14.3, 11.3, 8.92, 7.04, 5.56, 4.39, 3.47, 2.74, 2.16, 1.71, 1.35, 1.06, 0.839, 0.662, 0.523, 0.413, 0.326, 0.257, 0.203, 0.16, 0.127, 0.1]","[135.97, 153.21, 173.76, 197.69, 223.96, 252.85, 284.9, 318.07, 353.83, 392.37, 433.32, 476.32, 520.93, 566.94, 613.94, 661.35, 708.58, 755.28, 801.0, 845.01, 887.53, 927.19, 963.9, 997.43, 1026.6, 1051.3, 1071.5, 1088.2, 1102.2, 1109.3, 1110.5, 1111.8, 1107.3, 1105.6, 1098.8, 1087.8, 1079.0, 1067.0]","[1126.7350529238986, 0.08334524941363868, 0.4727730115029349, 0.9155519029564977]"
M12_1_M3_15,"[628.0, 496.0, 391.0, 309.0, 244.0, 193.0, 152.0, 120.0, 94.8, 74.8, 59.1, 46.6, 36.8, 29.1, 23.0, 18.1, 14.3, 11.3, 8.92, 7.04, 5.56, 4.39, 3.47, 2.74, 2.16, 1.71, 1.35, 1.06, 0.839, 0.662, 0.523, 0.413, 0.326, 0.257, 0.203, 0.16, 0.127, 0.1]","[170.26, 187.51, 210.31, 238.28, 270.15, 305.86, 346.27, 389.62, 436.97, 488.49, 544.09, 602.89, 664.7, 729.13, 795.6, 863.43, 931.98, 1000.6, 1069.0, 1136.2, 1202.0, 1266.3, 1327.9, 1385.9, 1439.7, 1487.3, 1529.4, 1564.4, 1593.2, 1616.0, 1629.2, 1638.6, 1644.3, 1643.7, 1639.6, 1633.5, 1622.8, 1606.8]","[1689.5864961752616, 0.1198639926478537, 0.4683727052034618, 0.8660735189933572]"
M12_2_M3_20,"[628.0, 496.0, 391.0, 309.0, 244.0, 193.0, 152.0, 120.0, 94.8, 74.8, 59.1, 46.6, 36.8, 29.1, 23.0, 18.1, 14.3, 11.3, 8.92, 7.04, 5.56, 4.39, 3.47, 2.74, 2.16, 1.71, 1.35, 1.06, 0.839, 0.662, 0.523, 0.413, 0.326, 0.257, 0.203, 0.16, 0.127, 0.1]","[168.27, 185.3, 207.09, 233.68, 263.68, 297.36, 335.2, 375.59, 419.51, 467.35, 518.54, 572.86, 629.53, 688.26, 749.01, 811.22, 874.2, 936.36, 998.44, 1059.1, 1117.9, 1174.1, 1227.6, 1276.4, 1322.0, 1361.4, 1396.2, 1426.1, 1448.8, 1470.6, 1482.3, 1491.4, 1495.9, 1494.0, 1490.0, 1486.9, 1473.4, 1458.2]","[1529.0783326193996, 0.1179113672190504, 0.4870277187828891, 0.8866369234620959]"
M12_1_M3_20,"[628.0, 496.0, 391.0, 309.0, 244.0, 193.0, 152.0, 120.0, 94.8, 74.8, 59.1, 46.6, 36.8, 29.1, 23.0, 18.1, 14.3, 11.3, 8.92, 7.04, 5.56, 4.39, 3.47, 2.74, 2.16, 1.71, 1.35, 1.06, 0.839, 0.662, 0.523, 0.413, 0.326, 0.257, 0.203, 0.16, 0.127, 0.1]","[159.69, 178.33, 201.36, 228.85, 259.83, 294.3, 333.31, 374.65, 419.84, 469.04, 522.03, 578.32, 637.62, 699.38, 763.21, 828.7, 895.24, 962.58, 1029.8, 1097.1, 1163.5, 1228.7, 1291.5, 1351.2, 1406.4, 1457.0, 1502.3, 1544.5, 1579.2, 1609.3, 1634.4, 1656.3, 1666.4, 1678.9, 1684.7, 1688.5, 1680.1, 1686.3]","[1772.1444066346553, 0.10923061810194698, 0.43715079247400207, 0.7231004510982463]"
M12_2_M3_30,"[628.0, 496.0, 391.0, 309.0, 244.0, 193.0, 152.0, 120.0, 94.8, 74.8, 59.1, 46.6, 36.8, 29.1, 23.0, 18.1, 14.3, 11.3, 8.92, 7.04, 5.56, 4.39, 3.47, 2.74, 2.16, 1.71, 1.35, 1.06, 0.839, 0.662, 0.523, 0.413, 0.326, 0.257, 0.203, 0.16, 0.127, 0.1]","[160.57, 182.36, 208.14, 238.34, 272.01, 309.33, 352.2, 397.21, 446.5, 500.19, 558.39, 620.33, 685.92, 754.73, 825.95, 899.73, 974.8, 1051.2, 1128.2, 1205.2, 1280.8, 1355.1, 1427.5, 1495.9, 1560.4, 1620.3, 1675.1, 1724.7, 1767.2, 1806.5, 1834.6, 1859.9, 1880.1, 1895.9, 1909.7, 1908.9, 1914.4, 1899.2]","[2027.6739670005131, 0.09903173960105809, 0.3989345386946098, 0.6796747291998722]"
M12_2_M3_15,"[628.0, 496.0, 391.0, 309.0, 244.0, 193.0, 152.0, 120.0, 94.8, 74.8, 59.1, 46.6, 36.8, 29.1, 23.0, 18.1, 14.3, 11.3, 8.92, 7.04, 5.56, 4.39, 3.47, 2.74, 2.16, 1.71, 1.35, 1.06, 0.839, 0.662, 0.523, 0.413, 0.326, 0.257, 0.203, 0.16, 0.127, 0.1]","[162.92, 177.91, 197.74, 222.11, 249.82, 280.94, 315.78, 352.97, 393.31, 437.09, 483.82, 533.1, 584.31, 637.1, 691.14, 745.96, 801.29, 855.65, 909.19, 961.86, 1012.3, 1059.9, 1104.6, 1145.9, 1183.1, 1215.7, 1245.7, 1268.8, 1291.2, 1306.1, 1317.4, 1326.3, 1327.6, 1325.6, 1329.0, 1325.3, 1313.9, 1303.7]","[1357.647099003286, 0.11096395784232674, 0.4984827697908153, 0.885199172053418]"
M12_5_M3_25,"[628.0, 496.0, 391.0, 309.0, 244.0, 193.0, 152.0, 120.0, 94.8, 74.8, 59.1, 46.6, 36.8, 29.1, 23.0, 18.1, 14.3, 11.3, 8.92, 7.04, 5.56, 4.39, 3.47, 2.74, 2.16, 1.71, 1.35, 1.06, 0.839, 0.662, 0.523, 0.413, 0.326, 0.257, 0.203, 0.16, 0.127, 0.1]","[193.64, 210.31, 232.57, 260.08, 291.32, 326.12, 364.98, 406.1, 450.5, 498.15, 548.76, 601.52, 655.82, 711.33, 767.34, 823.27, 878.59, 932.39, 984.28, 1033.7, 1080.1, 1122.1, 1161.4, 1196.4, 1224.6, 1248.1, 1269.7, 1279.2, 1290.0, 1291.6, 1292.5, 1291.4, 1291.2, 1277.0, 1265.3, 1253.3, 1245.5, 1223.0]","[1289.6521507174414, 0.09729907178426445, 0.5359804456491836, 1.1227859394824709]"
M12_3_M3_15,"[628.0, 496.0, 391.0, 309.0, 244.0, 193.0, 152.0, 120.0, 94.8, 74.8, 59.1, 46.6, 36.8, 29.1, 23.0, 18.1, 14.3, 11.3, 8.92, 7.04, 5.56, 4.39, 3.47, 2.74, 2.16, 1.71, 1.35, 1.06, 0.839, 0.662, 0.523, 0.413, 0.326, 0.257, 0.203, 0.16, 0.127, 0.1]","[139.5, 151.13, 166.76, 186.36, 208.5, 233.19, 260.17, 288.78, 319.37, 352.0, 386.48, 422.42, 459.34, 496.76, 534.29, 571.66, 608.37, 643.89, 678.02, 710.21, 740.27, 767.86, 793.15, 814.76, 832.75, 847.59, 858.84, 866.4, 871.33, 871.57, 869.55, 868.1, 863.41, 857.54, 852.09, 847.98, 842.3, 836.44]","[869.8221912578095, 0.09041502265962938, 0.5439923330653961, 1.1261997702578828]"
M12_1_M3_25,"[628.0, 496.0, 391.0, 309.0, 244.0, 193.0, 152.0, 120.0, 94.8, 74.8, 59.1, 46.6, 36.8, 29.1, 23.0, 18.1, 14.3, 11.3, 8.92, 7.04, 5.56, 4.39, 3.47, 2.74, 2.16, 1.71, 1.35, 1.06, 0.839, 0.662, 0.523, 0.413, 0.326, 0.257, 0.203, 0.16, 0.127, 0.1]","[155.57, 168.12, 186.57, 210.11, 237.29, 268.06, 303.02, 340.47, 381.39, 426.11, 474.16, 525.33, 579.16, 635.23, 693.1, 752.41, 812.6, 873.08, 933.38, 992.76, 1051.0, 1106.2, 1159.8, 1210.1, 1256.1, 1297.2, 1333.2, 1365.2, 1392.1, 1431.8, 1426.1, 1438.5, 1440.3, 1442.6, 1430.8, 1424.5, 1419.8, 1411.0]","[1474.1256888994471, 0.13835579573742338, 0.4911720779350554, 0.9079003039342148]"
M12_3_M3_25,"[628.0, 496.0, 391.0, 309.0, 244.0, 193.0, 152.0, 120.0, 94.8, 74.8, 59.1, 46.6, 36.8, 29.1, 23.0, 18.1, 14.3, 11.3, 8.92, 7.04, 5.56, 4.39, 3.47, 2.74, 2.16, 1.71, 1.35, 1.06, 0.839, 0.662, 0.523, 0.413, 0.326, 0.257, 0.203, 0.16, 0.127, 0.1]","[170.55, 184.42, 204.23, 229.35, 258.15, 290.65, 327.17, 366.39, 409.27, 456.04, 506.27, 559.67, 615.75, 674.15, 734.34, 795.92, 858.29, 920.68, 982.51, 1043.3, 1102.4, 1159.2, 1213.0, 1262.8, 1307.6, 1347.5, 1381.8, 1410.5, 1433.2, 1450.6, 1458.9, 1464.1, 1463.1, 1455.5, 1448.8, 1436.9, 1418.7, 1401.8]","[1477.1013637961526, 0.14045446144500562, 0.5133913140505161, 1.007716735530379]"
M12_3,"[628.0, 496.0, 391.0, 309.0, 244.0, 193.0, 152.0, 120.0, 94.8, 74.8, 59.1, 46.6, 36.8, 29.1, 23.0, 18.1, 14.3, 11.3, 8.92, 7.04, 5.56, 4.39, 3.47, 2.74, 2.16, 1.71, 1.35, 1.06, 0.839, 0.662, 0.523, 0.413, 0.326, 0.257, 0.203, 0.16, 0.127, 0.1]","[149.78, 157.99, 171.31, 189.35, 210.18, 233.77, 259.62, 287.23, 316.72, 348.1, 381.35, 415.82, 451.19, 486.95, 522.75, 558.23, 593.04, 626.41, 658.2, 688.04, 715.64, 740.45, 762.97, 781.72, 797.51, 809.02, 817.38, 822.86, 824.33, 823.01, 818.94, 813.4, 806.53, 798.85, 789.11, 775.84, 764.68, 750.52]","[805.4369743980486, 0.10177572860651217, 0.5872724056923027, 1.4088717201874341]"
M12_4_M3_10,"[628.0, 496.0, 391.0, 309.0, 244.0, 193.0, 152.0, 120.0, 94.8, 74.8, 59.1, 46.6, 36.8, 29.1, 23.0, 18.1, 14.3, 11.3, 8.92, 7.04, 5.56, 4.39, 3.47, 2.74, 2.16, 1.71, 1.35, 1.06, 0.839, 0.662, 0.523, 0.413, 0.326, 0.257, 0.203, 0.16, 0.127, 0.1]","[126.48, 132.61, 142.98, 157.09, 173.58, 191.97, 212.31, 233.97, 256.89, 281.08, 306.72, 333.24, 360.28, 387.31, 414.08, 440.51, 466.32, 491.05, 514.73, 536.77, 557.56, 576.22, 592.57, 607.77, 620.01, 630.73, 640.65, 645.69, 650.73, 652.97, 649.1, 651.21, 649.89, 644.08, 639.5, 634.61, 627.47, 618.59]","[647.7939118827871, 0.10206077827779325, 0.5979202320524462, 1.1862086574094017]"
